timestamp,2,5,6,8,9,14,18,23,25,28,33,34
1755015683.9086363,0.00,0.00,17.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
1755015683.9103894,0.00,0.00,17.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
1755015684.618539,0.00,0.00,35.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
1755015684.6199229,0.00,0.00,35.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
1755015685.3276966,0.00,0.00,53.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
1755015685.3279893,0.00,0.00,53.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
1755015685.8187032,0.00,0.00,53.01,17.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
1755015685.8191216,0.00,0.00,53.01,17.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
1755015701.9820697,0.00,0.00,70.68,17.67,0.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00
1755015701.982295,0.00,0.00,70.68,17.67,0.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00
1755015701.9991302,0.00,0.00,70.68,35.34,0.00,4.00,0.00,0.00,4.00,0.00,0.00,4.00
1755015701.99933,0.00,0.00,70.68,35.34,0.00,4.00,0.00,0.00,4.00,0.00,0.00,4.00
1755015702.021617,0.00,0.00,88.35,35.34,0.00,4.00,0.00,0.00,4.00,0.00,0.00,4.00
1755015702.021979,0.00,0.00,88.35,35.34,0.00,4.00,0.00,0.00,4.00,0.00,0.00,4.00
1755015702.0563219,0.00,0.00,88.35,53.01,0.00,4.00,0.00,0.00,4.00,0.00,0.00,4.00
1755015702.0566826,0.00,0.00,88.35,53.01,0.00,4.00,0.00,0.00,4.00,0.00,0.00,4.00
1755015718.0201254,0.00,0.00,97.02,62.01,0.00,4.00,4.00,0.00,4.00,0.00,0.00,4.00
1755015718.0203447,0.00,0.00,97.02,62.01,0.00,4.00,4.00,0.00,4.00,0.00,0.00,4.00
1755015718.04099,0.00,0.00,97.02,79.68,0.00,4.00,4.00,0.00,4.00,0.00,0.00,4.00
1755015718.0412068,0.00,0.00,97.02,79.68,0.00,4.00,4.00,0.00,4.00,0.00,0.00,4.00
1755015718.0600593,0.00,0.00,97.02,97.35,0.00,4.00,4.00,0.00,4.00,0.00,0.00,4.00
1755015718.0602617,0.00,0.00,97.02,97.35,0.00,4.00,4.00,0.00,4.00,0.00,0.00,4.00
1755015718.0870385,9.00,0.00,97.02,97.35,0.00,4.00,4.00,0.00,4.00,0.00,0.00,4.00
1755015718.0874195,9.00,0.00,97.02,97.35,0.00,4.00,4.00,0.00,4.00,0.00,0.00,4.00
1755015735.0280604,9.00,0.00,97.02,97.35,0.00,4.00,4.00,9.00,4.00,0.00,0.00,8.00
1755015735.0282824,9.00,0.00,97.02,97.35,0.00,4.00,4.00,9.00,4.00,0.00,0.00,8.00
1755015735.0678766,9.00,0.00,97.02,97.35,9.00,4.00,4.00,9.00,4.00,0.00,4.00,8.00
1755015735.0682664,9.00,0.00,97.02,97.35,9.00,4.00,4.00,9.00,4.00,0.00,4.00,8.00
1755015735.102924,9.00,9.00,97.02,97.35,9.00,4.00,4.00,9.00,4.00,4.00,4.00,8.00
1755015735.1031458,9.00,9.00,97.02,97.35,9.00,4.00,4.00,9.00,4.00,4.00,4.00,8.00
1755015735.1271875,9.00,18.00,97.02,97.35,9.00,4.00,4.00,9.00,4.00,4.00,4.00,8.00
1755015735.1273923,9.00,18.00,97.02,97.35,9.00,4.00,4.00,9.00,4.00,4.00,4.00,8.00
1755015753.0446622,9.00,22.00,97.02,97.35,18.00,4.00,4.00,9.00,4.00,4.00,4.00,8.00
1755015753.0449107,9.00,22.00,97.02,97.35,18.00,4.00,4.00,9.00,4.00,4.00,4.00,8.00
1755015753.0798125,9.00,22.00,97.02,97.35,18.00,4.00,4.00,9.00,13.00,4.00,4.00,8.00
